# niche-harvest M1 inheritance candidates — sourced from booker/data/fb_conditioner.sqlite (2026-04-24)
# Commissioned by Narvest 2026-04-24T20:38Z for niche-harvest M1 starting inventory.
# Ranking formula: (events_synced × 3) + events_produced − days_since_last_event / 30 − (consecutive_empty_scrapes × 2)
#
# Recommendation tiers:
#   NOT_A_FB_GROUP — aggregator-source markers (source-tm, source-nyt, v21_batch_import). Skip; not actually FB groups.
#   YES — events_synced >= 5 OR (events_produced >= 8 AND last_event within 90d). Inherit into M1.
#   MAYBE — events_synced >= 1 OR events_produced >= 3. Manual review before inherit.
#   NO — everything else (scraped-zero, never-scraped, flagged not_fb_group). Leave in Booker SQLite for archival; don't inherit.
#
# Counts: NOT_A_FB_GROUP=3 YES=11 MAYBE=83 NO=282
#
# Booker ranking thresholds are advisory. Tune on niche-harvest side after manual scan of YES + MAYBE tiers.
#
rec,score,fb_group_id,name,url,events_synced,events_produced,future_events,last_event_date,days_since_last_event,last_scraped_at,consecutive_empty_scrapes,activity_level,scrape_priority,reason
NOT_A_FB_GROUP,257.00,source-tm,tangomango.org,https://tangomango.com,0,257,48,2026-04-25T19:00:00,0,,0,high,normal,"aggregator-source marker, not a real FB group"
NOT_A_FB_GROUP,77.00,source-nyt,newyorktango.com,https://newyorktango.com,0,77,12,2026-05-14T19:00:00,0,,0,high,normal,"aggregator-source marker, not a real FB group"
NOT_A_FB_GROUP,36.87,v21_batch_import,v2.1 Batch Import,https://www.facebook.com/groups/v21_batch_import/,0,40,0,2026-03-20T22:00:00.000Z,34,2026-04-16 23:11:20,1,high,normal,"aggregator-source marker, not a real FB group"
YES,26.00,arg.tango.in.northern.california,Argentine Tango in Northern California,https://www.facebook.com/groups/arg.tango.in.northern.california/,3,19,6,2026-05-28T02:00:00.000Z,0,2026-04-16 22:11:28,1,medium,high,19 events + recent activity (0d)
YES,18.00,154852087884242,Philadelphia Tango,https://www.facebook.com/groups/154852087884242/,2,14,4,2026-06-06T01:00:00.000Z,0,2026-04-16 21:43:01,1,high,high,14 events + recent activity (0d)
YES,16.00,NewOrleansTango,New Orleans Argentine Tango Group,https://www.facebook.com/groups/NewOrleansTango/,2,12,6,2026-05-30T19:00:00.000Z,0,2026-04-16 21:52:32,1,high,high,12 events + recent activity (0d)
YES,14.00,tangosocietyMN,Tango Society of Minnesota,https://www.facebook.com/groups/tangosocietyMN/,2,8,4,2026-09-25T18:00:00.000Z,0,2026-04-16 21:56:07,0,medium,high,8 events + recent activity (0d)
YES,12.00,289538382905838,ARGENTINE TANGO IN SACRAMENTO,https://www.facebook.com/groups/289538382905838/,2,8,5,2026-07-07T08:00:00.000Z,0,2026-04-16 21:53:54,1,high,high,8 events + recent activity (0d)
YES,12.00,5797538175,Madison Tango Society,https://www.facebook.com/groups/5797538175/,1,9,3,2026-05-13T23:00:00.000Z,0,2026-04-16 21:56:55,0,high,high,9 events + recent activity (0d)
YES,10.83,688132571205945,BOSTON TANGO NEWS,https://www.facebook.com/groups/688132571205945/,1,10,0,2026-04-18T23:30:00.000Z,5,2026-04-16 21:49:47,1,high,high,10 events + recent activity (5d)
YES,10.00,23980569997,Houston Tango,https://www.facebook.com/groups/23980569997/,1,9,4,2026-05-01T23:00:00.000Z,0,2026-04-16 21:45:20,1,high,high,9 events + recent activity (0d)
YES,7.80,tango.berlin,tango.berlin,https://www.facebook.com/groups/tango.berlin/,0,8,0,2026-04-18T15:00:00.000Z,6,2026-04-16 23:24:49,0,unknown,dormant,8 events + recent activity (6d)
YES,7.00,sandiegotango,San Diego Tango Group,https://www.facebook.com/groups/sandiegotango/,0,9,4,2027-02-06T18:00:00.000Z,0,2026-04-16 22:20:52,1,active,high,9 events + recent activity (0d)
YES,6.83,751262302928194,Tango Events Los Angeles,https://www.facebook.com/groups/751262302928194/,0,9,0,2026-04-19T16:00:00.000Z,5,2026-04-16 22:15:26,1,low,high,9 events + recent activity (5d)
MAYBE,14.83,298751814077528,Tango in Florida,https://www.facebook.com/groups/298751814077528/,3,6,0,2026-04-19T21:00:00.000Z,5,2026-04-16 21:59:36,0,medium,high,synced 3 event(s); review manually
MAYBE,12.00,chicagotangolovers,Chicago Tango Lovers,https://www.facebook.com/groups/chicagotangolovers/,2,6,3,2026-07-25T14:30:00.000Z,0,2026-04-16 21:50:26,0,high,high,synced 2 event(s); review manually
MAYBE,11.27,argentinetangoevents,"Tango Festivals, Marathons, Encuentros and events worldwide",https://www.facebook.com/groups/argentinetangoevents/,3,5,0,2026-04-02T18:30:00.000Z,22,2026-04-16 21:37:52,1,high,dormant,synced 3 event(s); review manually
MAYBE,10.00,tucsontango,Tucson Tango,https://www.facebook.com/groups/tucsontango/,3,3,3,2026-07-08T18:00:00.000Z,0,2026-04-16 22:30:27,1,active,high,synced 3 event(s); review manually
MAYBE,8.00,BosTango,BosTango,https://www.facebook.com/groups/BosTango/,2,4,1,2026-04-24T23:30:00.000Z,0,2026-04-16 22:16:21,1,unknown,high,synced 2 event(s); review manually
MAYBE,8.00,144487065635684,Melbourne Argentine Tango dance scene,https://www.facebook.com/groups/144487065635684/,1,7,2,2026-05-02T05:00:00.000Z,0,2026-04-16 23:07:47,1,medium,high,synced 1 event(s); review manually
MAYBE,7.00,136436746819225,Tango Argentino Info Bangkok Thailand,https://www.facebook.com/groups/136436746819225/,1,6,4,2026-09-04T14:00:00.000Z,0,2026-04-16 23:04:31,1,medium,high,synced 1 event(s); review manually
MAYBE,6.00,puertaaltango,Puerta al Tango,https://www.facebook.com/groups/puertaaltango/,2,2,2,2026-06-06T01:00:00.000Z,0,2026-04-16 22:12:05,1,medium,dormant,synced 2 event(s); review manually
MAYBE,6.00,546926272039452,FB Group 546926272039452,https://www.facebook.com/groups/546926272039452/,0,6,4,2026-06-10T12:00:00.000Z,0,2026-04-16 23:16:50,0,unknown,dormant,"6 events produced, 0 synced"
MAYBE,6.00,141687102929,Charleston Argentine Tango Society,https://www.facebook.com/groups/141687102929/,0,6,5,2026-05-12T23:00:00.000Z,0,2026-04-16 22:38:20,0,active,normal,"6 events produced, 0 synced"
